Deployment Date,Failure Date,Time to Failure,Hutch,Serial Number W/O Production Number,Production Number,PV Base,Symptoms,Standardized,,,,Testing
5/1/2023,2/5/2023,,LM1K4,SLLV42sc,463,,Unresponsive linear stage AND Piezo damage,Unresponsive Stage,,,,[Unresponsive Stage]
,11/22/2023,,,STT50.8v,6,,Cable Damaged,Cable Damage,,,,[Cable Damage]
,11/22/2023,,,SR7012l,18,,Piezo burned ,Piezo Damage,,,,
,11/22/2023,,,STT25.4v,25,,Piezo burned ,Piezo Damage,,,,
,11/22/2023,,,STT50.8v,29,,Piezo burned ,Piezo Damage,,,,
,11/22/2023,,,SLC1780ds,40,,,,,,,
5/1/2023,11/27/2023,210,LM1K4,STT25.4v,21,HRM_MP1_MR4,Unresponsive tilt axis AND Piezo damage,Unresponsive Mount,,,,
5/1/2023,11/27/2023,210,LM1K4,STT25.4v,,ATM_MP1_MR0,ATM_MR0_TILT1 unresponsive AND Piezo damage,Unresponsive Mount AND Piezo Damage,,,,
5/1/2023,11/27/2023,210,LM1K4,STT25.4v,,ATM_MP1_MR1,ATM_MR1_TILT1 unresponsive AND Piezo damage,Unresponsive Mount AND Piezo Damage,,,,
5/1/2023,1/1/2024,245,LM1K4,STT25.4v,27,ATM_MP1_MR0,,,,,,
5/1/2023,1/30/2024,274,LM1K4,SLC1780ds,,,Absolute positions change unexpectedly,Inaccurate Motion,,,,
5/1/2023,1/30/2024,274,LM1K4,CLL42lc,,,Absolute positions change unexpectedly,Inaccurate Motion,,,,
8/1/2023,2/5/2024,188,LM2K2,CLL42lc,47,,Stage failing sporadically in closed-loop movement,Inaccurate Motion,,,,
8/1/2023,2/5/2024,188,LM2K2,STT25.4v,,,Unresponsive axes,Unresponsive Mount,,,,
8/1/2023,2/14/2024,197,LM2K2,STT25.4v,24,EJX_MP1_MR1,,,,,,
8/1/2023,2/27/2024,210,LM2K2,STT50.8iv,,,Intermittent sensor failure on encoded tilt axis,Intermittent Response,,,,
8/1/2023,2/29/2024,212,LM2K2,STT50.8iv,6,ATM_MP1_IMG1_BS1,,,,,,
8/1/2023,2/29/2024,212,LM2K2,STT50.8v,6,ATM_MP1_IMG1_BS3,,,,,,
8/1/2023,4/22/2024,265,LM2K2,SLC2445ds,,,"Stage failing sporadically in closed-loop movement AND Not ""homing"" properly",Inaccurate Motion AND Inaccurate Motion,,,,
5/1/2023,5/26/2024,391,LM1K4,SLC1740ds,85,,"Unresponsive stage, Hanging after sticky movements AND Piezo damaged",Unresponsive Stage AND Inaccurate Motion AND Piezo Damage,,,,
8/1/2023,6/12/2024,316,LM2K2,SLLV42lc,473,EJX_MP1_LS1_LM1,Unresponsive movement AND Piezo Damage,Inaccurate Motion AND Piezo Damage,,,,
5/1/2023,6/28/2024,424,LM1K4,SLLV42lc,469,,"Not ""homing"" properly",Inaccurate Motion ,,,,
5/1/2023,7/4/2024,430,LM1K4,SLC1760ds,89,,Unresponsive stage AND Piezo damaged,Unresponsive Stage AND Piezo Damage,,,,
